,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5473,0.329,0.676,9,-9.036,0,0.0324,0.0366,0.0,0.18,0.529,78.217,273733,4
5474,0.437,0.655,9,-10.161,0,0.0828,0.205,0.000108,0.823,0.655,114.596,306117,4
5475,0.208,0.391,5,-8.038,1,0.0383,0.805,0.267,0.111,0.111,125.656,282467,3
5476,0.862,0.886,11,-3.738,0,0.0888,0.00916,1.85e-06,0.0657,0.96,134.001,111067,4
5477,0.637,0.617,1,-8.329,1,0.0257,0.287,0.000236,0.646,0.615,82.713,267154,4
5478,0.175,0.935,6,-8.645,1,0.0771,4.72e-05,0.4,0.936,0.193,140.044,485240,4
5479,0.357,0.907,11,-6.884,1,0.077,0.000837,0.346,0.965,0.178,136.931,245080,4
5480,0.32,0.911,11,-6.613,1,0.0846,0.0238,0.00102,0.766,0.358,130.005,265600,4
5481,0.741,0.943,2,-3.682,1,0.0696,0.102,0.0561,0.18,0.746,121.752,205200,4
5482,0.335,0.906,7,-7.308,1,0.209,0.304,3.64e-05,0.959,0.386,133.843,284364,4
5483,0.5,0.513,9,-4.725,0,0.03,0.0929,2.87e-06,0.106,0.256,131.473,317027,4
5484,0.457,0.23,4,-14.592,0,0.0348,0.698,0.00278,0.235,0.17,108.528,241467,4
5485,0.607,0.52,9,-14.539,0,0.121,0.0499,0.000874,0.348,0.677,151.944,242400,4
5486,0.341,0.984,8,-4.882,1,0.146,0.00766,0.0,0.973,0.276,87.94,261387,4
5487,0.486,0.867,3,-4.769,1,0.0637,0.125,0.0,0.169,0.628,168.897,184760,4
5488,0.539,0.959,11,-5.729,1,0.215,0.0295,0.0,0.698,0.184,129.793,236907,4
5489,0.271,0.552,0,-10.39,0,0.0656,0.14,0.0,0.902,0.578,201.278,296493,3
5490,0.608,0.345,3,-13.254,0,0.0655,0.217,0.000488,0.0947,0.501,155.889,243947,4
5491,0.556,0.929,0,-9.906,1,0.0547,0.00197,0.205,0.736,0.558,124.995,249893,4
5492,0.444,0.547,9,-11.212,1,0.0337,0.205,0.0,0.0713,0.898,131.013,202933,4
5493,0.229,0.909,6,-5.48,1,0.0779,0.00315,6.66e-05,0.148,0.354,163.786,320787,4
5494,0.395,0.954,8,-6.25,1,0.0576,4.53e-05,0.578,0.458,0.106,98.071,74147,4
5495,0.469,0.885,1,-5.511,1,0.0545,7.46e-06,0.00924,0.256,0.556,131.981,197455,4
5496,0.361,0.972,4,-4.438,1,0.145,0.0469,1.42e-06,0.983,0.176,160.102,278188,4
5497,0.541,0.822,3,-5.817,0,0.0489,0.000504,9.38e-05,0.138,0.54,133.892,261627,4
5498,0.484,0.356,4,-17.109,0,0.108,0.797,0.117,0.691,0.49,136.793,203040,4
5499,0.535,0.441,0,-8.247,1,0.0272,0.613,0.000473,0.11,0.24,145.983,305547,4
5500,0.274,0.975,0,-6.799,1,0.207,0.000342,0.0784,0.699,0.142,94.705,293229,4
5501,0.354,0.913,10,-9.649,0,0.104,0.000592,0.323,0.924,0.144,130.909,504573,4
5502,0.59,0.858,2,-7.1,0,0.0336,0.0121,0.000837,0.177,0.315,128.651,214893,4
5503,0.32,0.53,1,-5.131,0,0.0294,0.121,0.0003,0.282,0.0822,104.966,316747,4
5504,0.506,0.923,9,-2.975,0,0.0535,0.00938,2.95e-06,0.371,0.437,92.031,203413,4
5505,0.44,0.379,7,-10.736,1,0.0368,0.829,2.3e-05,0.0957,0.209,128.245,192360,3
5506,0.43,0.686,7,-5.738,1,0.0463,0.545,0.0588,0.0911,0.385,109.821,170827,4
5507,0.504,0.895,5,-6.399,0,0.275,0.00853,0.00173,0.232,0.725,201.858,181200,4
5508,0.426,0.975,2,-3.384,1,0.0899,7.54e-05,0.0,0.586,0.496,100.058,170200,4
5509,0.454,0.215,0,-13.787,1,0.143,0.782,0.0,0.299,0.609,202.401,151747,4
5510,0.62,0.912,1,-4.011,1,0.221,0.0728,7.15e-05,0.249,0.291,106.236,336440,4
5511,0.517,0.813,4,-4.973,1,0.0361,0.00631,0.0104,0.493,0.285,152.338,319613,4
5512,0.756,0.935,6,-15.213,1,0.188,0.484,2.75e-06,0.357,0.137,91.144,25693,4
5513,0.395,0.894,0,-2.901,1,0.0794,0.00104,0.00399,0.126,0.318,104.352,30186,5
5514,0.527,0.585,0,-5.304,1,0.0238,0.0243,0.000201,0.181,0.226,81.266,190227,3
5515,0.615,0.667,2,-7.801,1,0.0345,0.0175,0.0844,0.241,0.795,120.006,253333,4
5516,0.807,0.414,4,-8.903,1,0.0352,0.105,2.57e-05,0.0813,0.502,108.944,223080,4
5517,0.468,0.907,10,-8.027,0,0.142,0.00725,0.0,0.956,0.49,160.074,219650,4
5518,0.204,0.953,3,-9.724,0,0.128,0.158,0.971,0.401,0.0348,85.377,44340,4
5519,0.368,0.932,0,-2.864,1,0.035,7.89e-05,0.608,0.54,0.491,146.879,193667,4
5520,0.33,0.99,0,-2.127,1,0.107,0.069,0.00118,0.686,0.0966,136.862,301933,4
5521,0.252,0.752,0,-10.901,1,0.0522,0.012,0.0114,0.0979,0.564,208.581,253655,4
5522,0.257,0.96,3,-7.177,0,0.124,0.00579,0.157,0.947,0.399,133.994,247867,4
5523,0.639,0.611,7,-7.506,1,0.0354,0.173,0.0343,0.144,0.608,147.523,290093,4
5524,0.449,0.954,7,-5.158,1,0.11,0.339,0.0285,0.946,0.374,100.042,329107,4
5525,0.288,0.955,9,-6.954,0,0.111,0.00218,0.00154,0.291,0.484,145.57,268267,4
5526,0.139,0.914,1,-10.835,1,0.396,0.236,0.725,0.986,0.376,186.456,193707,4
5527,0.3,0.393,3,-10.775,1,0.0298,0.125,0.0,0.13,0.534,108.975,272133,4
5528,0.45,0.932,2,-4.223,1,0.147,0.0528,0.0,0.748,0.473,170.222,280947,4
